brand,title,rating,totalReviews,price,originalPrice
Apple,"Apple iPhone 7 Plus, 128GB, Silver - Fully Unlocked (Renewed)",3.9,2,299.99,0.0
Apple,"Apple iPhone 7 Plus, GSM Unlocked, 128GB - Rose Gold (Renewed)",3.5,83,288.0,0.0
Sony,Sony Xperia L1 G3313 16GB Unlocked GSM Quad-Core Android Phone - Pink,3.7,117,129.0,0.0
Samsung,Samsung Galaxy S6 Edge G925P 32GB Gold - Sprint (Renewed),1.0,1,124.95,0.0
Apple,"Apple iPhone 6S Plus, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",3.8,56,249.99,0.0
Apple,"Apple iPhone 6S, 64GB, Space Gray - Fully Unlocked (Renewed)",3.5,394,156.88,165.0
Apple,"Apple iPhone 6S, 16GB, Rose Gold - For AT&T / T-Mobile (Renewed)",3.7,379,143.57,0.0
Apple,"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",3.6,427,158.88,271.84
Apple,Apple iPhone 7 Plus 256GB Unlocked GSM Quad-Core Phone - Black (Renewed),4.1,153,324.0,549.99
Apple,"Apple iPhone 7 Plus, 128GB, Gold - For Sprint (Renewed)",3.8,28,304.99,0.0
Samsung,Samsung Galaxy J7 - Verizon Carrier Locked No Contract Prepaid Smartphone,3.6,381,179.99,0.0
Apple,Apple iPhone 7 Plus 256GB Unlocked GSM 4G LTE Quad-Core Smartphone - Jet Black (Renewed),4.0,193,354.99,0.0
Apple,Apple iPhone 7 Plus 32GB Unlocked GSM 4G LTE Quad-Core Smartphone - Black (Renewed),3.8,101,299.99,0.0
Samsung,Samsung G550T GSM 4G LTE Unlocked Galaxy ON5 Smartphone,3.5,58,119.0,0.0
Samsung,Samsung Galaxy S7 Edge 32GB G935A GSM Unlocked (Renewed) (Black),3.5,301,214.97,0.0
Samsung,"Samsung Galaxy S7 Active G891A 32GB Unlocked GSM Shatter,Dust and Water Resistant Smartphone w/ 12MP Camera (AT&T) - Sandy Gold",3.5,160,255.99,0.0
Samsung,Samsung Galaxy Note 4 N910v 32GB Verizon Wireless CDMA Smartphone - Frosted White (Renewed),3.0,116,0.0,0.0
Samsung,Samsung Galaxy S8+ 64GB GSM Unlocked Phone - International Version (Midnight Black),4.0,54,459.98,0.0
Samsung,"Samsung Galaxy S8 SM-G950F Unlocked 64GB - International Version/No Warranty (GSM Only, No CDMA) (Midnight Black)",3.9,117,399.99,0.0
Samsung,Samsung Galaxy S8 64GB GSM Unlocked Phone - International Version (Orchid Gray),3.1,20,398.11,0.0
Samsung,Samsung Galaxy S8 64GB Unlocked Phone - International Version (Maple Gold),4.0,117,429.99,0.0
Samsung,Samsung Galaxy S8+ SM-G955U 64GB Arctic Silver AT&T,3.1,8,0.0,0.0
Samsung,"Samsung Galaxy S8+ 64GB Phone -6.2"" display - T-Mobile Unlocked (Arctic Silver)",4.1,83,439.98,0.0
Samsung,Samsung Galaxy S8 64GB Factory Unlocked Smartphone - US Version (Midnight Black) - US Warranty - [SM-G950UZKAXAA],4.0,2,399.95,499.99
Samsung,Samsung Galaxy S8 64GB GSM Unlocked Phone - US Version (Coral Blue),4.0,3,419.95,0.0
Samsung,Samsung Galaxy S8 64GB Unlocked Phone - US Version (Orchid Gray),3.6,24,393.55,0.0
